zip,county,pop
90011,Los Angeles,111165
91331,Los Angeles,105458
90650,Los Angeles,105304
90201,Los Angeles,101965
90044,Los Angeles,99443
92335,San Bernardino,99306
92336,San Bernardino,98346
94565,Contra Costa,97671
90250,Los Angeles,97072
90805,Los Angeles,95995
92503,Riverside,95551
90280,Los Angeles,94642
91342,Los Angeles,94595
91710,San Bernardino,91773
92683,Orange,91105
92804,Orange,89915
92154,San Diego,88979
92704,Orange,88321
95076,Santa Cruz,86905
93307,Kern,86832
92376,San Bernardino,86085
91744,Los Angeles,85421
92592,Riverside,84930
94112,San Francisco,84707
93033,Ventura,84701
93722,Fresno,84621
93727,Fresno,84449
91911,San Diego,84026
92126,San Diego,82658
92345,San Bernardino,82110
91335,Los Angeles,81824
92509,Riverside,81383
91709,San Bernardino,80701
94544,Alameda,79747
95035,Santa Clara,79655
95823,Sacramento,79440
95630,Sacramento,78159
93550,Los Angeles,77506
90706,Los Angeles,77195
91706,Los Angeles,76930
93257,Tulare,76519
92553,Riverside,76102
94533,Solano,75909
90255,Los Angeles,75019
91910,San Diego,74855
94536,Alameda,74837
94587,Alameda,74722
92805,Orange,74478
93535,Los Angeles,74264
93274,Tulare,74000
90003,Los Angeles,73730
92105,San Diego,73623
92882,Riverside,73250
91730,San Bernardino,72407
94110,San Francisco,72380
91766,Los Angeles,72348
93306,Kern,72280
91402,Los Angeles,72059
93065,Ventura,71832
90262,Los Angeles,70536
93536,Los Angeles,70237
92021,San Diego,70148
92880,Riverside,69656
92563,Riverside,69469
92703,Orange,69112
90631,Orange,69064
95687,Solano,69060
90026,Los Angeles,68906
92114,San Diego,68851
95123,Santa Clara,68766
92407,San Bernardino,68545
94558,Napa,68315
94509,Contra Costa,68166
90037,Los Angeles,67640
93230,Kings,67605
94080,San Mateo,67600
94538,Alameda,67474
90022,Los Angeles,67014
95747,Placer,66931
91343,Los Angeles,66743
92801,Orange,66594
92677,Orange,66314
95127,Santa Clara,66256
95624,Sacramento,65948
94541,Alameda,65928
95758,Sacramento,65811
92201,Riverside,65726
94015,San Mateo,65041
95020,Santa Clara,64833
91977,San Diego,64750
90019,Los Angeles,64534
93906,Monterey,64348
92115,San Diego,64343
94513,Contra Costa,64313
94806,Contra Costa,64286
92562,Riverside,64286
95206,San Joaquin,64250
92346,San Bernardino,63857
94501,Alameda,63821
90042,Los Angeles,63193
92627,Orange,63161
90660,Los Angeles,63001
92404,San Bernardino,62915
91732,Los Angeles,62905
91950,San Diego,62859
90640,Los Angeles,62730
91770,Los Angeles,62703
95608,Sacramento,62539
95112,Santa Clara,62228
92647,Orange,62199
94122,San Francisco,62128
91702,Los Angeles,62066
95014,Santa Clara,61866
95111,Santa Clara,61830
91762,San Bernardino,61718
93312,Kern,61628
91761,San Bernardino,61425
92707,Orange,60831
92570,Riverside,60686
90731,Los Angeles,60659
90004,Los Angeles,60541
93905,Monterey,60531
92057,San Diego,60414
92324,San Bernardino,59972
92504,Riverside,59896
95051,Santa Clara,59851
90001,Los Angeles,59832
92020,San Diego,59743
95355,Stanislaus,59621
90006,Los Angeles,59576
92780,Orange,59499
92630,Orange,59403
93291,Tulare,59270
90066,Los Angeles,59167
92507,Riverside,59152
95828,Sacramento,58717
93117,Santa Barbara,58546
93309,Kern,58538
93030,Ventura,58422
92113,San Diego,58408
92392,San Bernardino,58393
90813,Los Angeles,58380
92530,Riverside,58184
92071,San Diego,57710
