zip,city,state_id,state_name
90001,Los Angeles,CA,California
90002,Los Angeles,CA,California
90003,Los Angeles,CA,California
90004,Los Angeles,CA,California
90005,Los Angeles,CA,California
90006,Los Angeles,CA,California
90007,Los Angeles,CA,California
90008,Los Angeles,CA,California
90010,Los Angeles,CA,California
90011,Los Angeles,CA,California
90012,Los Angeles,CA,California
90013,Los Angeles,CA,California
90014,Los Angeles,CA,California
90015,Los Angeles,CA,California
90016,Los Angeles,CA,California
90017,Los Angeles,CA,California
90018,Los Angeles,CA,California
90019,Los Angeles,CA,California
90020,Los Angeles,CA,California
90021,Los Angeles,CA,California
90022,Los Angeles,CA,California
90023,Los Angeles,CA,California
90024,Los Angeles,CA,California
90025,Los Angeles,CA,California
90026,Los Angeles,CA,California
90027,Los Angeles,CA,California
90028,Los Angeles,CA,California
90029,Los Angeles,CA,California
90031,Los Angeles,CA,California
90032,Los Angeles,CA,California
90033,Los Angeles,CA,California
90034,Los Angeles,CA,California
90035,Los Angeles,CA,California
90036,Los Angeles,CA,California
90037,Los Angeles,CA,California
90038,Los Angeles,CA,California
90039,Los Angeles,CA,California
90040,Los Angeles,CA,California
90041,Los Angeles,CA,California
90042,Los Angeles,CA,California
90043,Los Angeles,CA,California
90044,Los Angeles,CA,California
90045,Los Angeles,CA,California
90046,Los Angeles,CA,California
90047,Los Angeles,CA,California
90048,Los Angeles,CA,California
90049,Los Angeles,CA,California
90056,Los Angeles,CA,California
90057,Los Angeles,CA,California
90058,Los Angeles,CA,California
90059,Los Angeles,CA,California
90061,Los Angeles,CA,California
90062,Los Angeles,CA,California
90063,Los Angeles,CA,California
90064,Los Angeles,CA,California
90065,Los Angeles,CA,California
90066,Los Angeles,CA,California
90067,Los Angeles,CA,California
90068,Los Angeles,CA,California
90069,West Hollywood,CA,California
90071,Los Angeles,CA,California
90073,Los Angeles,CA,California
90077,Los Angeles,CA,California
90079,Los Angeles,CA,California
90089,Los Angeles,CA,California
90090,Dodgertown,CA,California
90094,Playa Vista,CA,California
90095,Los Angeles,CA,California
90201,Bell Gardens,CA,California
90210,Beverly Hills,CA,California
90211,Beverly Hills,CA,California
90212,Beverly Hills,CA,California
90220,Compton,CA,California
90221,Compton,CA,California
90222,Compton,CA,California
90230,Culver City,CA,California
90232,Culver City,CA,California
90240,Downey,CA,California
90241,Downey,CA,California
90242,Downey,CA,California
90245,El Segundo,CA,California
90247,Gardena,CA,California
90248,Gardena,CA,California
90249,Gardena,CA,California
90250,Hawthorne,CA,California
90254,Hermosa Beach,CA,California
90255,Huntington Park,CA,California
90260,Lawndale,CA,California
90262,Lynwood,CA,California
90263,Malibu,CA,California
90265,Malibu,CA,California
90266,Manhattan Beach,CA,California
90270,Maywood,CA,California
90272,Pacific Palisades,CA,California
90274,Palos Verdes Peninsula,CA,California
90275,Rancho Palos Verdes,CA,California
90277,Redondo Beach,CA,California
90278,Redondo Beach,CA,California
90280,South Gate,CA,California
90290,Topanga,CA,California
90291,Venice,CA,California
90292,Marina Del Rey,CA,California
90293,Playa Del Rey,CA,California
90301,Inglewood,CA,California
90302,Inglewood,CA,California
90303,Inglewood,CA,California
90304,Inglewood,CA,California
90305,Inglewood,CA,California
90401,Santa Monica,CA,California
90402,Santa Monica,CA,California
90403,Santa Monica,CA,California
90404,Santa Monica,CA,California
90405,Santa Monica,CA,California
90501,Torrance,CA,California
90502,Torrance,CA,California
90503,Torrance,CA,California
90504,Torrance,CA,California
90505,Torrance,CA,California
90506,Torrance,CA,California
90601,Whittier,CA,California
90602,Whittier,CA,California
90603,Whittier,CA,California
90604,Whittier,CA,California
90605,Whittier,CA,California
90606,Whittier,CA,California
90620,Buena Park,CA,California
90621,Buena Park,CA,California
90623,La Palma,CA,California
90630,Cypress,CA,California
90631,La Habra,CA,California
90638,La Mirada,CA,California
90640,Montebello,CA,California
90650,Norwalk,CA,California
90660,Pico Rivera,CA,California
90670,Santa Fe Springs,CA,California
90680,Stanton,CA,California
90701,Artesia,CA,California
90703,Cerritos,CA,California
90704,Avalon,CA,California
90706,Bellflower,CA,California
90710,Harbor City,CA,California
90712,Lakewood,CA,California
90713,Lakewood,CA,California
90715,Lakewood,CA,California
90716,Hawaiian Gardens,CA,California
90717,Lomita,CA,California
90720,Los Alamitos,CA,California
90723,Paramount,CA,California
90731,San Pedro,CA,California
90732,San Pedro,CA,California
90740,Seal Beach,CA,California
90742,Sunset Beach,CA,California
90743,Surfside,CA,California
90744,Wilmington,CA,California
90745,Carson,CA,California
90746,Carson,CA,California
90747,Carson,CA,California
90755,Signal Hill,CA,California
90802,Long Beach,CA,California
90803,Long Beach,CA,California
90804,Long Beach,CA,California
90805,Long Beach,CA,California
90806,Long Beach,CA,California
90807,Long Beach,CA,California
90808,Long Beach,CA,California
90810,Long Beach,CA,California
90813,Long Beach,CA,California
90814,Long Beach,CA,California
90815,Long Beach,CA,California
90822,Long Beach,CA,California
90831,Long Beach,CA,California
91001,Altadena,CA,California
91006,Arcadia,CA,California
91007,Arcadia,CA,California
91008,Duarte,CA,California
91010,Duarte,CA,California
91011,La Canada Flintridge,CA,California
91016,Monrovia,CA,California
91020,Montrose,CA,California
91024,Sierra Madre,CA,California
91030,South Pasadena,CA,California
